year,sex,highest_qualification,age,outside_labour_force
2010,males,primary and below,15-19,4900
2010,males,primary and below,20-24,600
2010,males,primary and below,25-29,400
2010,males,primary and below,30-34,700
2010,males,primary and below,35-39,700
2010,males,primary and below,40-44,1600
2010,males,primary and below,45-49,1700
2010,males,primary and below,50-54,3900
2010,males,primary and below,55-59,6400
2010,males,primary and below,60-64,12000
2010,males,primary and below,65-69,15100
2010,males,primary and below,70 and over,51500
2010,males,lower secondary,15-19,43900
2010,males,lower secondary,20-24,400
2010,males,lower secondary,25-29,200
2010,males,lower secondary,30-34,-
2010,males,lower secondary,35-39,100
2010,males,lower secondary,40-44,500
2010,males,lower secondary,45-49,900
2010,males,lower secondary,50-54,1600
2010,males,lower secondary,55-59,3300
2010,males,lower secondary,60-64,5200
2010,males,lower secondary,65-69,4000
2010,males,lower secondary,70 and over,7900
2010,males,secondary,15-19,59200
2010,males,secondary,20-24,9300
2010,males,secondary,25-29,800
2010,males,secondary,30-34,300
2010,males,secondary,35-39,800
2010,males,secondary,40-44,700
2010,males,secondary,45-49,1200
2010,males,secondary,50-54,2500
2010,males,secondary,55-59,3900
2010,males,secondary,60-64,5500
2010,males,secondary,65-69,5900
2010,males,secondary,70 and over,11100
2010,males,post-secondary (non-tertiary),15-19,4000
2010,males,post-secondary (non-tertiary),20-24,20300
2010,males,post-secondary (non-tertiary),25-29,1700
2010,males,post-secondary (non-tertiary),30-34,400
2010,males,post-secondary (non-tertiary),35-39,400
2010,males,post-secondary (non-tertiary),40-44,400
2010,males,post-secondary (non-tertiary),45-49,700
2010,males,post-secondary (non-tertiary),50-54,900
2010,males,post-secondary (non-tertiary),55-59,1800
2010,males,post-secondary (non-tertiary),60-64,2400
2010,males,post-secondary (non-tertiary),65-69,2600
2010,males,post-secondary (non-tertiary),70 and over,3300
2010,males,diploma and professional qualification,15-19,1800
2010,males,diploma and professional qualification,20-24,10200
2010,males,diploma and professional qualification,25-29,2900
2010,males,diploma and professional qualification,30-34,700
2010,males,diploma and professional qualification,35-39,400
2010,males,diploma and professional qualification,40-44,500
2010,males,diploma and professional qualification,45-49,500
2010,males,diploma and professional qualification,50-54,800
2010,males,diploma and professional qualification,55-59,1800
2010,males,diploma and professional qualification,60-64,2400
2010,males,diploma and professional qualification,65-69,1900
2010,males,diploma and professional qualification,70 and over,2600
2010,males,degree,20-24,1400
2010,males,degree,25-29,2200
2010,males,degree,30-34,900
2010,males,degree,35-39,600
2010,males,degree,40-44,900
2010,males,degree,45-49,1200
2010,males,degree,50-54,1200
2010,males,degree,55-59,2400
2010,males,degree,60-64,3100
2010,males,degree,65-69,2000
2010,males,degree,70 and over,3500
2010,females,primary and below,15-19,4400
2010,females,primary and below,20-24,700
2010,females,primary and below,25-29,1700
2010,females,primary and below,30-34,2700
2010,females,primary and below,35-39,5600
2010,females,primary and below,40-44,7800
2010,females,primary and below,45-49,14600
2010,females,primary and below,50-54,21100
2010,females,primary and below,55-59,30800
2010,females,primary and below,60-64,36300
2010,females,primary and below,65-69,33200
2010,females,primary and below,70 and over,106700
2010,females,lower secondary,15-19,41100
2010,females,lower secondary,20-24,600
2010,females,lower secondary,25-29,2000
2010,females,lower secondary,30-34,3300
2010,females,lower secondary,35-39,5100
2010,females,lower secondary,40-44,6500
2010,females,lower secondary,45-49,8600
2010,females,lower secondary,50-54,8500
2010,females,lower secondary,55-59,10700
2010,females,lower secondary,60-64,8500
2010,females,lower secondary,65-69,5000
2010,females,lower secondary,70 and over,7300
2010,females,secondary,15-19,58500
2010,females,secondary,20-24,7700
2010,females,secondary,25-29,4100
2010,females,secondary,30-34,5200
2010,females,secondary,35-39,8200
2010,females,secondary,40-44,11800
2010,females,secondary,45-49,15000
2010,females,secondary,50-54,15000
2010,females,secondary,55-59,13700
2010,females,secondary,60-64,12200
2010,females,secondary,65-69,6500
2010,females,secondary,70 and over,7400
2010,females,post-secondary (non-tertiary),15-19,8000
2010,females,post-secondary (non-tertiary),20-24,17600
2010,females,post-secondary (non-tertiary),25-29,1200
2010,females,post-secondary (non-tertiary),30-34,2000
2010,females,post-secondary (non-tertiary),35-39,3900
2010,females,post-secondary (non-tertiary),40-44,3900
2010,females,post-secondary (non-tertiary),45-49,3100
2010,females,post-secondary (non-tertiary),50-54,3100
2010,females,post-secondary (non-tertiary),55-59,3400
2010,females,post-secondary (non-tertiary),60-64,2400
2010,females,post-secondary (non-tertiary),65-69,2100
2010,females,post-secondary (non-tertiary),70 and over,2300
2010,females,diploma and professional qualification,15-19,1000
2010,females,diploma and professional qualification,20-24,10000
2010,females,diploma and professional qualification,25-29,3400
2010,females,diploma and professional qualification,30-34,4900
2010,females,diploma and professional qualification,35-39,5700
2010,females,diploma and professional qualification,40-44,4300
2010,females,diploma and professional qualification,45-49,3100
2010,females,diploma and professional qualification,50-54,1900
2010,females,diploma and professional qualification,55-59,1700
2010,females,diploma and professional qualification,60-64,2200
2010,females,diploma and professional qualification,65-69,1200
2010,females,diploma and professional qualification,70 and over,2200
2010,females,degree,20-24,3100
2010,females,degree,25-29,5900
2010,females,degree,30-34,10500
2010,females,degree,35-39,12600
2010,females,degree,40-44,8000
2010,females,degree,45-49,6400
2010,females,degree,50-54,3700
2010,females,degree,55-59,2900
2010,females,degree,60-64,2600
2010,females,degree,65-69,800
2010,females,degree,70 and over,1500
2011,males,primary and below,15-19,2500
2011,males,primary and below,20-24,800
2011,males,primary and below,25-29,500
2011,males,primary and below,30-34,300
2011,males,primary and below,35-39,500
2011,males,primary and below,40-44,1400
2011,males,primary and below,45-49,2200
2011,males,primary and below,50-54,3900
2011,males,primary and below,55-59,7100
2011,males,primary and below,60-64,10900
2011,males,primary and below,65-69,13800
2011,males,primary and below,70 and over,52800
2011,males,lower secondary,15-19,56300
2011,males,lower secondary,20-24,200
2011,males,lower secondary,25-29,300
2011,males,lower secondary,30-34,200
2011,males,lower secondary,35-39,200
2011,males,lower secondary,40-44,400
2011,males,lower secondary,45-49,700
2011,males,lower secondary,50-54,1400
2011,males,lower secondary,55-59,3100
2011,males,lower secondary,60-64,5100
2011,males,lower secondary,65-69,5200
2011,males,lower secondary,70 and over,9600
2011,males,secondary,15-19,59100
2011,males,secondary,20-24,10200
2011,males,secondary,25-29,800
2011,males,secondary,30-34,800
2011,males,secondary,35-39,600
2011,males,secondary,40-44,700
2011,males,secondary,45-49,1100
2011,males,secondary,50-54,1900
2011,males,secondary,55-59,3800
2011,males,secondary,60-64,6800
2011,males,secondary,65-69,5600
2011,males,secondary,70 and over,10400
2011,males,post-secondary (non-tertiary),15-19,4200
2011,males,post-secondary (non-tertiary),20-24,22400
2011,males,post-secondary (non-tertiary),25-29,1500
2011,males,post-secondary (non-tertiary),30-34,300
2011,males,post-secondary (non-tertiary),35-39,500
2011,males,post-secondary (non-tertiary),40-44,500
2011,males,post-secondary (non-tertiary),45-49,800
2011,males,post-secondary (non-tertiary),50-54,900
2011,males,post-secondary (non-tertiary),55-59,1700
2011,males,post-secondary (non-tertiary),60-64,2600
2011,males,post-secondary (non-tertiary),65-69,1700
2011,males,post-secondary (non-tertiary),70 and over,4200
2011,males,diploma and professional qualification,15-19,2000
2011,males,diploma and professional qualification,20-24,13300
2011,males,diploma and professional qualification,25-29,3700
2011,males,diploma and professional qualification,30-34,900
2011,males,diploma and professional qualification,35-39,600
2011,males,diploma and professional qualification,40-44,600
2011,males,diploma and professional qualification,45-49,600
2011,males,diploma and professional qualification,50-54,800
2011,males,diploma and professional qualification,55-59,1700
2011,males,diploma and professional qualification,60-64,1800
2011,males,diploma and professional qualification,65-69,2200
2011,males,diploma and professional qualification,70 and over,2800
2011,males,degree,20-24,1400
2011,males,degree,25-29,2800
2011,males,degree,30-34,1100
2011,males,degree,35-39,900
2011,males,degree,40-44,600
2011,males,degree,45-49,1000
2011,males,degree,50-54,1200
2011,males,degree,55-59,1600
2011,males,degree,60-64,3000
2011,males,degree,65-69,2400
2011,males,degree,70 and over,4700
2011,females,primary and below,15-19,1500
2011,females,primary and below,20-24,700
2011,females,primary and below,25-29,1200
2011,females,primary and below,30-34,2600
2011,females,primary and below,35-39,4000
2011,females,primary and below,40-44,7900
2011,females,primary and below,45-49,12600
2011,females,primary and below,50-54,19200
2011,females,primary and below,55-59,28400
2011,females,primary and below,60-64,35400
2011,females,primary and below,65-69,31400
2011,females,primary and below,70 and over,111000
2011,females,lower secondary,15-19,49200
2011,females,lower secondary,20-24,800
2011,females,lower secondary,25-29,1500
2011,females,lower secondary,30-34,2500
2011,females,lower secondary,35-39,3900
2011,females,lower secondary,40-44,5500
2011,females,lower secondary,45-49,8100
2011,females,lower secondary,50-54,7200
2011,females,lower secondary,55-59,9600
2011,females,lower secondary,60-64,8800
2011,females,lower secondary,65-69,5100
2011,females,lower secondary,70 and over,7500
2011,females,secondary,15-19,57900
2011,females,secondary,20-24,7600
2011,females,secondary,25-29,3100
2011,females,secondary,30-34,4800
2011,females,secondary,35-39,6500
2011,females,secondary,40-44,10100
2011,females,secondary,45-49,13500
2011,females,secondary,50-54,17500
2011,females,secondary,55-59,15300
2011,females,secondary,60-64,13100
2011,females,secondary,65-69,6800
2011,females,secondary,70 and over,8400
2011,females,post-secondary (non-tertiary),15-19,7900
2011,females,post-secondary (non-tertiary),20-24,20100
2011,females,post-secondary (non-tertiary),25-29,1400
2011,females,post-secondary (non-tertiary),30-34,3000
2011,females,post-secondary (non-tertiary),35-39,4000
2011,females,post-secondary (non-tertiary),40-44,4600
2011,females,post-secondary (non-tertiary),45-49,3800
2011,females,post-secondary (non-tertiary),50-54,3400
2011,females,post-secondary (non-tertiary),55-59,3000
2011,females,post-secondary (non-tertiary),60-64,2700
2011,females,post-secondary (non-tertiary),65-69,2100
2011,females,post-secondary (non-tertiary),70 and over,2500
2011,females,diploma and professional qualification,15-19,2100
2011,females,diploma and professional qualification,20-24,13700
2011,females,diploma and professional qualification,25-29,2800
2011,females,diploma and professional qualification,30-34,4200
2011,females,diploma and professional qualification,35-39,5100
2011,females,diploma and professional qualification,40-44,4700
2011,females,diploma and professional qualification,45-49,3200
2011,females,diploma and professional qualification,50-54,2000
2011,females,diploma and professional qualification,55-59,1800
2011,females,diploma and professional qualification,60-64,2200
2011,females,diploma and professional qualification,65-69,1600
2011,females,diploma and professional qualification,70 and over,2300
2011,females,degree,20-24,4600
2011,females,degree,25-29,6200
2011,females,degree,30-34,11500
2011,females,degree,35-39,12400
2011,females,degree,40-44,8700
2011,females,degree,45-49,5000
2011,females,degree,50-54,3400
2011,females,degree,55-59,2600
2011,females,degree,60-64,2500
2011,females,degree,65-69,1600
2011,females,degree,70 and over,2000
2012,males,primary and below,15-19,9700
2012,males,primary and below,20-24,700
2012,males,primary and below,25-29,500
2012,males,primary and below,30-34,400
2012,males,primary and below,35-39,400
2012,males,primary and below,40-44,1300
2012,males,primary and below,45-49,1600
2012,males,primary and below,50-54,3500
2012,males,primary and below,55-59,4700
2012,males,primary and below,60-64,9900
2012,males,primary and below,65-69,13200
2012,males,primary and below,70 and over,55800
2012,males,lower secondary,15-19,47700
2012,males,lower secondary,20-24,400
2012,males,lower secondary,25-29,300
2012,males,lower secondary,30-34,300
2012,males,lower secondary,35-39,200
2012,males,lower secondary,40-44,300
2012,males,lower secondary,45-49,1000
2012,males,lower secondary,50-54,1500
2012,males,lower secondary,55-59,2700
2012,males,lower secondary,60-64,4200
2012,males,lower secondary,65-69,4500
2012,males,lower secondary,70 and over,9100
2012,males,secondary,15-19,58300
2012,males,secondary,20-24,9000
2012,males,secondary,25-29,1000
2012,males,secondary,30-34,500
2012,males,secondary,35-39,700
2012,males,secondary,40-44,800
2012,males,secondary,45-49,1100
2012,males,secondary,50-54,1400
2012,males,secondary,55-59,3700
2012,males,secondary,60-64,6300
2012,males,secondary,65-69,5600
2012,males,secondary,70 and over,10500
2012,males,post-secondary (non-tertiary),15-19,4300
2012,males,post-secondary (non-tertiary),20-24,24600
2012,males,post-secondary (non-tertiary),25-29,3100
2012,males,post-secondary (non-tertiary),30-34,500
2012,males,post-secondary (non-tertiary),35-39,300
2012,males,post-secondary (non-tertiary),40-44,400
2012,males,post-secondary (non-tertiary),45-49,900
2012,males,post-secondary (non-tertiary),50-54,800
2012,males,post-secondary (non-tertiary),55-59,1300
2012,males,post-secondary (non-tertiary),60-64,2000
2012,males,post-secondary (non-tertiary),65-69,2000
2012,males,post-secondary (non-tertiary),70 and over,4700
2012,males,diploma and professional qualification,15-19,1800
2012,males,diploma and professional qualification,20-24,13600
2012,males,diploma and professional qualification,25-29,3600
2012,males,diploma and professional qualification,30-34,600
2012,males,diploma and professional qualification,35-39,300
2012,males,diploma and professional qualification,40-44,500
2012,males,diploma and professional qualification,45-49,1000
2012,males,diploma and professional qualification,50-54,1000
2012,males,diploma and professional qualification,55-59,1000
2012,males,diploma and professional qualification,60-64,2300
2012,males,diploma and professional qualification,65-69,2500
2012,males,diploma and professional qualification,70 and over,3100
2012,males,degree,20-24,1400
2012,males,degree,25-29,3200
2012,males,degree,30-34,1200
2012,males,degree,35-39,700
2012,males,degree,40-44,1000
2012,males,degree,45-49,1400
2012,males,degree,50-54,1300
2012,males,degree,55-59,2300
2012,males,degree,60-64,3200
2012,males,degree,65-69,2900
2012,males,degree,70 and over,4900
2012,females,primary and below,15-19,8200
2012,females,primary and below,20-24,1100
2012,females,primary and below,25-29,1400
2012,females,primary and below,30-34,1600
2012,females,primary and below,35-39,4100
2012,females,primary and below,40-44,5700
2012,females,primary and below,45-49,10400
2012,females,primary and below,50-54,20400
2012,females,primary and below,55-59,26700
2012,females,primary and below,60-64,32200
2012,females,primary and below,65-69,33900
2012,females,primary and below,70 and over,109500
2012,females,lower secondary,15-19,41100
2012,females,lower secondary,20-24,900
2012,females,lower secondary,25-29,900
2012,females,lower secondary,30-34,2100
2012,females,lower secondary,35-39,3300
2012,females,lower secondary,40-44,4400
2012,females,lower secondary,45-49,6600
2012,females,lower secondary,50-54,7400
2012,females,lower secondary,55-59,8800
2012,females,lower secondary,60-64,9800
2012,females,lower secondary,65-69,6400
2012,females,lower secondary,70 and over,8400
2012,females,secondary,15-19,58600
2012,females,secondary,20-24,8400
2012,females,secondary,25-29,2900
2012,females,secondary,30-34,4400
2012,females,secondary,35-39,6200
2012,females,secondary,40-44,10100
2012,females,secondary,45-49,13100
2012,females,secondary,50-54,16200
2012,females,secondary,55-59,15000
2012,females,secondary,60-64,14600
2012,females,secondary,65-69,8300
2012,females,secondary,70 and over,9800
2012,females,post-secondary (non-tertiary),15-19,8900
2012,females,post-secondary (non-tertiary),20-24,19100
2012,females,post-secondary (non-tertiary),25-29,1700
2012,females,post-secondary (non-tertiary),30-34,2200
2012,females,post-secondary (non-tertiary),35-39,3000
2012,females,post-secondary (non-tertiary),40-44,4100
2012,females,post-secondary (non-tertiary),45-49,3900
2012,females,post-secondary (non-tertiary),50-54,4300
2012,females,post-secondary (non-tertiary),55-59,3800
2012,females,post-secondary (non-tertiary),60-64,3000
2012,females,post-secondary (non-tertiary),65-69,1600
2012,females,post-secondary (non-tertiary),70 and over,2900
2012,females,diploma and professional qualification,15-19,1400
2012,females,diploma and professional qualification,20-24,14300
2012,females,diploma and professional qualification,25-29,2700
2012,females,diploma and professional qualification,30-34,3500
2012,females,diploma and professional qualification,35-39,4900
2012,females,diploma and professional qualification,40-44,5900
2012,females,diploma and professional qualification,45-49,3400
2012,females,diploma and professional qualification,50-54,2600
2012,females,diploma and professional qualification,55-59,2000
2012,females,diploma and professional qualification,60-64,2200
2012,females,diploma and professional qualification,65-69,1800
2012,females,diploma and professional qualification,70 and over,2200
2012,females,degree,20-24,4600
2012,females,degree,25-29,6200
2012,females,degree,30-34,10600
2012,females,degree,35-39,12100
2012,females,degree,40-44,10700
2012,females,degree,45-49,5600
2012,females,degree,50-54,3700
2012,females,degree,55-59,3100
2012,females,degree,60-64,2200
2012,females,degree,65-69,1700
2012,females,degree,70 and over,2100
