industry,jobtitle,company,Salary,YearsofExperience,FieldofStudy,Skills,Min.EducationLevel,Location,date_posted,WorkType,address,url
science-technology-job,Contract/Perm Regulatory Affairs Executive (Pharma/Medical Device MNCs) - HHW,Recruit Express Pte Ltd - HCLS,3500 - 5000,4,Not Applicable,Regulatory Affairs,Diploma,Singapore - Various Location,13 Jan 2018,"Permanent / Full Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//contract-perm-regulatory-affairs-executive-pharma-medical-device-mncs-hhw-job/view-job/1623062
science-technology-job,Lab Technician *Shift Work* (Healthcare/Pharma) - HHW,Recruit Express Pte Ltd - HCLS,1500 - 2000,,Not Applicable,Laboratory,Technical Certification,Singapore - Central,13 Jan 2018,"Permanent / Full Time, Temporary / Part Time",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//lab-technician-shift-work-healthcare-pharma-hhw-job/view-job/1621426
science-technology-job,Contract/Perm Regulatory Affairs Executive (Pharma/Medical Device MNCs) - HHW,Recruit Express Pte Ltd - HCLS,3500 - 5000,4,Not Applicable,Regulatory Affairs,Diploma,Singapore - Various Location,13 Jan 2018,"Permanent / Full Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//contract-perm-regulatory-affairs-executive-pharma-medical-device-mncs-hhw-job/view-job/1621427
science-technology-job,Administrative Executive,The Advertiser,Undisclosed,,Not Applicable,"Interpersonal skills, Communications skills, PC skills, Microsoft Office",'N' / 'O' Levels,Singapore - West,12 Jan 2018,"Permanent / Full Time, Temporary / Part Time",Not Available,http://www.stjobs.sg//administrative-executive-job/view-job/1621159
science-technology-job,Contract/Perm Regulatory Affairs Executive (Pharma/Medical Device MNCs) - HHW,Recruit Express Pte Ltd - HCLS,3500 - 5000,4,Not Applicable,Regulatory Affairs,Diploma,Singapore - Various Location,12 Jan 2018,"Permanent / Full Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//contract-perm-regulatory-affairs-executive-pharma-medical-device-mncs-hhw-job/view-job/1624439
science-technology-job,SAP Hana / Basis Support Admin - (Office hours) Urgent!!,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,4000 - 4800,4,"Software Engineering, Computer Engineering, Computer Science","SAP Hana, SAP Basis, SAP HANA administrator, SAP Basis administrator",Degree,Singapore - East,12 Jan 2018,"Permanent / Full Time, Contract",http://www.theoptimum.net/new/index.asp,http://www.stjobs.sg//sap-hana-basis-support-admin-office-hours-urgent-job/view-job/1624410
science-technology-job,Temp/ Contract QA Technician (Pharma/Medical Devices) - HRE,Recruit Express Pte Ltd - HCLS,1500 - 2800,,Biomedical Sciences & Chinese Medicine,Laboratory,Professional Certification,Singapore - Various Location,12 Jan 2018,"Permanent / Full Time, Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//temp-contract-qa-technician-pharma-medical-devices-hre-job/view-job/1623015
science-technology-job,Storage Engineer,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,4000 - 6000,3,"Computer Science, Computer Engineering","SAN (storage area networking), Storage administration, EMC , Netapp, LUN, RAID",Diploma,Singapore - East,11 Jan 2018,Permanent / Full Time,http://www.theoptimum.net/new/index.asp,http://www.stjobs.sg//storage-engineer-job/view-job/1622588
science-technology-job, Laboratory Technician (R&D;) - Pharma MNC (HMS) ,Recruit Express Pte Ltd - HCLS,Undisclosed,,"Biological Sciences, Life Sciences",Microsoft Office,'N' / 'O' Levels,Singapore - Central,11 Jan 2018,"Permanent / Full Time, Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//laboratory-technician-r-d-pharma-mnc-hms-job/view-job/1621799
science-technology-job,"Clinical Lab Technician (Contract/Temp, Healthcare/Lifescience) - HYY",Recruit Express Pte Ltd - HCLS,1500 - 2400,,Biological Sciences,Laboratory,Diploma,Singapore - Central,10 Jan 2018,"Permanent / Full Time, Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//clinical-lab-technician-contract-temp-healthcare-lifescience-hyy-job/view-job/1623730
science-technology-job,"Clinical Lab Technician (Contract/Temp, Healthcare/Lifescience) - HYY",Recruit Express Pte Ltd - HCLS,1500 - 2400,,Biological Sciences,Laboratory,Diploma,Singapore - Central,10 Jan 2018,"Permanent / Full Time, Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//clinical-lab-technician-contract-temp-healthcare-lifescience-hyy-job/view-job/1621050
science-technology-job,"Business Development Executive (Life Science) - 5 Days, West (Ref: JL)","Target Recruitment Pte Ltd, a member of WMS Group",2800 - 3300,2,Science,Business Development,Diploma,Singapore - West,10 Jan 2018,Permanent / Full Time,http://www.wmsgroup.net,http://www.stjobs.sg//business-development-executive-life-science-5-days-west-ref-jl-job/view-job/1622257
science-technology-job,Backend Developer,Maritime Technologies (R&D) Pte Ltd (ShipFocus),Undisclosed,5,Computer Science,"PHP, SQL (Structured Query Language), JavaScript",Degree,Singapore - South,9 Jan 2018,Permanent / Full Time,1 FUSIONOPOLIS WAY CONNEXIS Singapore 138632,http://www.stjobs.sg//backend-developer-job/view-job/1623421
science-technology-job,"Technical Support - (HTML5, CSS, XML/RSS, JavaScript, SQL, WordPress, FEED, Front end) - Gd PAY! ",OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,2500 - 3850,1,"Multimedia Technology and Design, Computer Engineering, Computer Science","wordpress, html5, javascript, CSS, front end development, front end developer",Diploma,Singapore - East,9 Jan 2018,"Permanent / Full Time, Contract",http://www.theoptimum.net/new/index.asp,http://www.stjobs.sg//technical-support-html5-css-xml-rss-javascript-sql-wordpress-feed-front-end-gd-pay-job/view-job/1622179
science-technology-job,Junior Java Developer (Trainee Entry Level) - 4 vacancies left only - Immediate interviews!,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,2300 - 2800,,"Computer Engineering, Computer Science, Information Technology and Business (ERP)","software engineer, programmer, java, entry level, fresh graduate",Diploma,Singapore - East,9 Jan 2018,"Permanent / Full Time, Contract",http://www.theoptimum.net/new/index.asp,http://www.stjobs.sg//junior-java-developer-trainee-entry-level-4-vacancies-left-only-immediate-interviews-job/view-job/1620670
science-technology-job,Laboratory Assistant (Temp/Contract/Perm) - HAJ,Recruit Express Pte Ltd - HCLS,1300 - 2000,,Not Applicable,Laboratory,'N' / 'O' Levels,Singapore - Various Location,9 Jan 2018,"Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//laboratory-assistant-temp-contract-perm-haj-job/view-job/1620635
science-technology-job,QA Assistant (Temp/Contract/Perm) - HAJ,Recruit Express Pte Ltd - HCLS,1300 - 2000,,Not Applicable,Laboratory,'N' / 'O' Levels,Singapore - Various Location,9 Jan 2018,"Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//qa-assistant-temp-contract-perm-haj-job/view-job/1620634
science-technology-job,Office Administrator,Sybo Tech Singapore Pte Ltd,1300 - 1400,1,Not Applicable,"Microsoft applications, Organisational skills, Interpersonal skills, Communications skills, team player",Diploma,Singapore - South,9 Jan 2018,Permanent / Full Time,100 PECK SEAH STREET PS100 Singapore 079333,http://www.stjobs.sg//office-administrator-job/view-job/1623000
science-technology-job,Marketing & Design Intern,Sybo Tech Singapore Pte Ltd,600 - 800,,Not Applicable,"Adobe Photoshop, Adobe Illustrator, Interpersonal skills, Communication skills, Microsoft suite of products (Excel and Powerpoint), knowledge of email marketing software or CMS such as WordPress",Diploma,Singapore - South,9 Jan 2018,Internship,100 PECK SEAH STREET PS100 Singapore 079333,http://www.stjobs.sg//marketing-design-intern-job/view-job/1622998
science-technology-job,Software Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",3000 - 4000,2,Not Applicable,"Programming,  ERP,  Accounting",Diploma,,9 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//software-engineer-job/view-job/1622064
science-technology-job,Project Executive,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",2500 - 3500,2,Not Applicable,"Project Management,  eCommerce,  Mobile App,  Web application,  JIRA",Diploma,,9 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//project-executive-job/view-job/1621490
science-technology-job,Full Stack Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",5000 - 7000,4,Not Applicable,"C#,  ASP.NET,  MVC,  AWS",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//full-stack-engineer-job/view-job/1622034
science-technology-job,Software Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",3000 - 4000,2,Not Applicable,"Programming,  ERP,  Accounting",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//software-engineer-job/view-job/1620417
science-technology-job,Software Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",3000 - 4000,2,Not Applicable,"Programming skills in HTML5,  JavaScript,  CSS,  JSP,  JAVA,  Unix shell script and JQuery",'N' / 'O' Levels,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//software-engineer-job/view-job/1620436
science-technology-job,Frontend Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",4000 - 6000,4,Not Applicable,"AngularJS,  jQuery,  CSS3,  Ajax",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//frontend-engineer-job/view-job/1622033
science-technology-job,Full Stack Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",5000 - 7000,4,Not Applicable,"C#,  ASP.NET,  MVC,  AWS",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//full-stack-engineer-job/view-job/1620443
science-technology-job,ERP Consultant,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",3000 - 4000,2,Not Applicable,"LCCI,  ERP(on Acccount),  Full set of accounting",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//erp-consultant-job/view-job/1621978
science-technology-job,Frontend Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",4000 - 6000,4,Not Applicable,"AngularJS,  jQuery,  CSS3,  Ajax",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//frontend-engineer-job/view-job/1620418
science-technology-job,ERP Consultant,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",3000 - 4000,2,Not Applicable,"LCCI,  ERP(on Acccount),  Full set of accounting",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//erp-consultant-job/view-job/1620409
science-technology-job,Contract/Perm Regulatory Affairs Executive (Pharma/Medical Device MNCs) - HHW,Recruit Express Pte Ltd - HCLS,3500 - 5000,4,Not Applicable,Regulatory Affairs,Diploma,Singapore - Various Location,13 Jan 2018,"Permanent / Full Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//contract-perm-regulatory-affairs-executive-pharma-medical-device-mncs-hhw-job/view-job/1623062
science-technology-job,Contract/Perm Regulatory Affairs Executive (Pharma/Medical Device MNCs) - HHW,Recruit Express Pte Ltd - HCLS,3500 - 5000,4,Not Applicable,Regulatory Affairs,Diploma,Singapore - Various Location,13 Jan 2018,"Permanent / Full Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//contract-perm-regulatory-affairs-executive-pharma-medical-device-mncs-hhw-job/view-job/1621427
science-technology-job,Lab Technician *Shift Work* (Healthcare/Pharma) - HHW,Recruit Express Pte Ltd - HCLS,1500 - 2000,,Not Applicable,Laboratory,Technical Certification,Singapore - Central,13 Jan 2018,"Permanent / Full Time, Temporary / Part Time",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//lab-technician-shift-work-healthcare-pharma-hhw-job/view-job/1621426
science-technology-job,"Clinical Lab Technician (Contract/Temp, Healthcare/Lifescience) - HYY",Recruit Express Pte Ltd - HCLS,1500 - 2400,,Biological Sciences,Laboratory,Diploma,Singapore - Central,6 Jan 2018,"Permanent / Full Time, Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//clinical-lab-technician-contract-temp-healthcare-lifescience-hyy-job/view-job/1620394
science-technology-job,Contract/Perm Regulatory Affairs Executive (Pharma/Medical Device MNCs) - HHW,Recruit Express Pte Ltd - HCLS,3500 - 5000,4,Not Applicable,Regulatory Affairs,Diploma,Singapore - Various Location,6 Jan 2018,"Permanent / Full Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//contract-perm-regulatory-affairs-executive-pharma-medical-device-mncs-hhw-job/view-job/1620378
science-technology-job,Administrative Executive,The Advertiser,Undisclosed,,Not Applicable,"Interpersonal skills, Communications skills, PC skills, Microsoft Office",'N' / 'O' Levels,Singapore - West,12 Jan 2018,"Permanent / Full Time, Temporary / Part Time",Not Available,http://www.stjobs.sg//administrative-executive-job/view-job/1621159
science-technology-job,Temp/ Contract QA Technician (Pharma/Medical Devices) - HRE,Recruit Express Pte Ltd - HCLS,1500 - 2800,,Biomedical Sciences & Chinese Medicine,Laboratory,Professional Certification,Singapore - Various Location,12 Jan 2018,"Permanent / Full Time, Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//temp-contract-qa-technician-pharma-medical-devices-hre-job/view-job/1623015
science-technology-job,Storage Engineer,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,4000 - 6000,3,"Computer Science, Computer Engineering","SAN (storage area networking), Storage administration, EMC , Netapp, LUN, RAID",Diploma,Singapore - East,11 Jan 2018,Permanent / Full Time,http://www.theoptimum.net/new/index.asp,http://www.stjobs.sg//storage-engineer-job/view-job/1622588
science-technology-job, Laboratory Technician (R&D;) - Pharma MNC (HMS) ,Recruit Express Pte Ltd - HCLS,Undisclosed,,"Biological Sciences, Life Sciences",Microsoft Office,'N' / 'O' Levels,Singapore - Central,11 Jan 2018,"Permanent / Full Time, Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//laboratory-technician-r-d-pharma-mnc-hms-job/view-job/1621799
science-technology-job,"Clinical Lab Technician (Contract/Temp, Healthcare/Lifescience) - HYY",Recruit Express Pte Ltd - HCLS,1500 - 2400,,Biological Sciences,Laboratory,Diploma,Singapore - Central,10 Jan 2018,"Permanent / Full Time, Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//clinical-lab-technician-contract-temp-healthcare-lifescience-hyy-job/view-job/1621050
science-technology-job,"Business Development Executive (Life Science) - 5 Days, West (Ref: JL)","Target Recruitment Pte Ltd, a member of WMS Group",2800 - 3300,2,Science,Business Development,Diploma,Singapore - West,10 Jan 2018,Permanent / Full Time,http://www.wmsgroup.net,http://www.stjobs.sg//business-development-executive-life-science-5-days-west-ref-jl-job/view-job/1622257
science-technology-job,"Technical Support - (HTML5, CSS, XML/RSS, JavaScript, SQL, WordPress, FEED, Front end) - Gd PAY! ",OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,2500 - 3850,1,"Multimedia Technology and Design, Computer Engineering, Computer Science","wordpress, html5, javascript, CSS, front end development, front end developer",Diploma,Singapore - East,9 Jan 2018,"Permanent / Full Time, Contract",http://www.theoptimum.net/new/index.asp,http://www.stjobs.sg//technical-support-html5-css-xml-rss-javascript-sql-wordpress-feed-front-end-gd-pay-job/view-job/1622179
science-technology-job,Junior Java Developer (Trainee Entry Level) - 4 vacancies left only - Immediate interviews!,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,2300 - 2800,,"Computer Engineering, Computer Science, Information Technology and Business (ERP)","software engineer, programmer, java, entry level, fresh graduate",Diploma,Singapore - East,9 Jan 2018,"Permanent / Full Time, Contract",http://www.theoptimum.net/new/index.asp,http://www.stjobs.sg//junior-java-developer-trainee-entry-level-4-vacancies-left-only-immediate-interviews-job/view-job/1620670
science-technology-job,Laboratory Assistant (Temp/Contract/Perm) - HAJ,Recruit Express Pte Ltd - HCLS,1300 - 2000,,Not Applicable,Laboratory,'N' / 'O' Levels,Singapore - Various Location,9 Jan 2018,"Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//laboratory-assistant-temp-contract-perm-haj-job/view-job/1620635
science-technology-job,QA Assistant (Temp/Contract/Perm) - HAJ,Recruit Express Pte Ltd - HCLS,1300 - 2000,,Not Applicable,Laboratory,'N' / 'O' Levels,Singapore - Various Location,9 Jan 2018,"Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//qa-assistant-temp-contract-perm-haj-job/view-job/1620634
science-technology-job,Software Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",3000 - 4000,2,Not Applicable,"Programming,  ERP,  Accounting",Diploma,,9 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//software-engineer-job/view-job/1622064
science-technology-job,Project Executive,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",2500 - 3500,2,Not Applicable,"Project Management,  eCommerce,  Mobile App,  Web application,  JIRA",Diploma,,9 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//project-executive-job/view-job/1621490
science-technology-job,Full Stack Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",5000 - 7000,4,Not Applicable,"C#,  ASP.NET,  MVC,  AWS",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//full-stack-engineer-job/view-job/1622034
science-technology-job,Software Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",3000 - 4000,2,Not Applicable,"Programming,  ERP,  Accounting",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//software-engineer-job/view-job/1620417
science-technology-job,Software Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",3000 - 4000,2,Not Applicable,"Programming skills in HTML5,  JavaScript,  CSS,  JSP,  JAVA,  Unix shell script and JQuery",'N' / 'O' Levels,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//software-engineer-job/view-job/1620436
science-technology-job,Frontend Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",4000 - 6000,4,Not Applicable,"AngularJS,  jQuery,  CSS3,  Ajax",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//frontend-engineer-job/view-job/1622033
science-technology-job,Full Stack Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",5000 - 7000,4,Not Applicable,"C#,  ASP.NET,  MVC,  AWS",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//full-stack-engineer-job/view-job/1620443
science-technology-job,ERP Consultant,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",3000 - 4000,2,Not Applicable,"LCCI,  ERP(on Acccount),  Full set of accounting",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//erp-consultant-job/view-job/1621978
science-technology-job,Frontend Engineer,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",4000 - 6000,4,Not Applicable,"AngularJS,  jQuery,  CSS3,  Ajax",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//frontend-engineer-job/view-job/1620418
science-technology-job,ERP Consultant,"NIJIBOX CO.,LTD. SINGAPORE BRANCH",3000 - 4000,2,Not Applicable,"LCCI,  ERP(on Acccount),  Full set of accounting",Diploma,,8 Jan 2018,Permanent / Full Time,"180 KITCHENER ROAD, #09-09 CITY SQUARE MALL Singapore 208539",http://www.stjobs.sg//erp-consultant-job/view-job/1620409
science-technology-job,Contract/Perm Regulatory Affairs Executive (Pharma/Medical Device MNCs) - HHW,Recruit Express Pte Ltd - HCLS,3500 - 5000,4,Not Applicable,Regulatory Affairs,Diploma,Singapore - Various Location,13 Jan 2018,"Permanent / Full Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//contract-perm-regulatory-affairs-executive-pharma-medical-device-mncs-hhw-job/view-job/1621427
science-technology-job,Lab Technician *Shift Work* (Healthcare/Pharma) - HHW,Recruit Express Pte Ltd - HCLS,1500 - 2000,,Not Applicable,Laboratory,Technical Certification,Singapore - Central,13 Jan 2018,"Permanent / Full Time, Temporary / Part Time",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//lab-technician-shift-work-healthcare-pharma-hhw-job/view-job/1621426
science-technology-job,"Clinical Lab Technician (Contract/Temp, Healthcare/Lifescience) - HYY",Recruit Express Pte Ltd - HCLS,1500 - 2400,,Biological Sciences,Laboratory,Diploma,Singapore - Central,6 Jan 2018,"Permanent / Full Time, Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//clinical-lab-technician-contract-temp-healthcare-lifescience-hyy-job/view-job/1620394
science-technology-job,Contract/Perm Regulatory Affairs Executive (Pharma/Medical Device MNCs) - HHW,Recruit Express Pte Ltd - HCLS,3500 - 5000,4,Not Applicable,Regulatory Affairs,Diploma,Singapore - Various Location,6 Jan 2018,"Permanent / Full Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//contract-perm-regulatory-affairs-executive-pharma-medical-device-mncs-hhw-job/view-job/1620378
science-technology-job,Administrative Executive,The Advertiser,Undisclosed,,Not Applicable,"Interpersonal skills, Communications skills, PC skills, Microsoft Office",'N' / 'O' Levels,Singapore - West,12 Jan 2018,"Permanent / Full Time, Temporary / Part Time",Not Available,http://www.stjobs.sg//administrative-executive-job/view-job/1621159
science-technology-job, Laboratory Technician (R&D;) - Pharma MNC (HMS) ,Recruit Express Pte Ltd - HCLS,Undisclosed,,"Biological Sciences, Life Sciences",Microsoft Office,'N' / 'O' Levels,Singapore - Central,11 Jan 2018,"Permanent / Full Time, Temporary / Part Time, Contract",http://www.recruitexpress.com.sg/,http://www.stjobs.sg//laboratory-technician-r-d-pharma-mnc-hms-job/view-job/1621799
